fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1924-01-08,1,1,1970-01-01 00:00:00.000001920,0
1924-06-11,1,1,1970-01-01 00:00:00.000001920,0
1924-12-21,1,1,1970-01-01 00:00:00.000001920,0
1924-12-24,8,8,1970-01-01 00:00:00.000001920,0
1925-03-22,5,5,1970-01-01 00:00:00.000001920,0
1925-04-25,3,3,1970-01-01 00:00:00.000001920,0
1925-06-25,4,4,1970-01-01 00:00:00.000001920,0
1925-06-26,2,2,1970-01-01 00:00:00.000001920,0
1925-07-20,1,1,1970-01-01 00:00:00.000001920,0
1925-07-24,1,1,1970-01-01 00:00:00.000001920,0
1925-03-09,43,14,1970-01-01 00:00:00.000001920,29
1925-01-10,1,1,1970-01-01 00:00:00.000001920,0
1925-11-14,1,1,1970-01-01 00:00:00.000001920,0
1925-11-14,2,2,1970-01-01 00:00:00.000001920,0
1926-12-02,1,1,1970-01-01 00:00:00.000001920,0
1926-08-03,1,1,1970-01-01 00:00:00.000001920,0
1926-05-31,1,1,1970-01-01 00:00:00.000001920,0
1926-03-07,6,6,1970-01-01 00:00:00.000001920,0
1926-09-07,2,2,1970-01-01 00:00:00.000001920,0
1926-07-24,5,5,1970-01-01 00:00:00.000001920,0
1926-08-18,15,3,1970-01-01 00:00:00.000001920,12
1926-09-26,5,2,1970-01-01 00:00:00.000001920,3
1926-02-10,7,7,1970-01-01 00:00:00.000001920,0
1926-08-10,4,4,1970-01-01 00:00:00.000001920,0
1926-10-21,12,0,1970-01-01 00:00:00.000001920,12
1926-11-11,3,3,1970-01-01 00:00:00.000001920,0
1926-12-16,1,1,1970-01-01 00:00:00.000001920,0
1927-12-01,0,0,1970-01-01 00:00:00.000001920,0
1927-03-20,1,1,1970-01-01 00:00:00.000001920,0
1927-03-24,3,3,1970-01-01 00:00:00.000001920,0
1927-04-15,1,1,1970-01-01 00:00:00.000001920,0
1927-04-22,2,2,1970-01-01 00:00:00.000001920,0
1927-04-22,1,1,1970-01-01 00:00:00.000001920,0
1927-02-05,3,1,1970-01-01 00:00:00.000001920,2
1927-07-27,5,5,1970-01-01 00:00:00.000001920,0
1927-08-22,11,1,1970-01-01 00:00:00.000001920,10
